name,price,socket,form_factor,max_memory,memory_slots,color,wifi,usb_c,image
MSI MAG B850 TOMAHAWK MAX WIFI,209.99,AM5,ATX,256 GB,4,Black / Green,,,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg
Asus B650E MAX GAMING WIFI W,153.99,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
Gigabyte B850 AORUS ELITE WIFI7,209.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Gigabyte B850 EAGLE WIFI6E,155.00,AM5,ATX,256 GB,4,Gray / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/2a9181a93dc5c38ea219e25f07ff1322.256p.jpg
Asus PRIME B550M-A WIFI II,111.99,AM4,Micro ATX,128 GB,4,Blue / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg
Asus TUF GAMING B650-PLUS WIFI,143.00,AM5,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg
Gigabyte B550M K,89.99,AM4,Micro ATX,128 GB,4,Brown / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg
Asus TUF GAMING B850-PLUS WIFI,204.00,AM5,ATX,256 GB,4,Black / Silver,,,https://m.media-amazon.com/images/I/51FhIr30MjL.jpg
Gigabyte A520M K V2,66.00,AM4,Micro ATX,64 GB,2,Brown / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/ad69b238cf570ec07fb8a00adda58eda.256p.jpg
Gigabyte B550 EAGLE WIFI6,112.99,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/9435af2197a80fcb37bc356ec9b83413.256p.jpg
Gigabyte X870E AORUS ELITE WIFI7,305.00,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
Gigabyte B650 EAGLE AX,168.99,AM5,ATX,192 GB,4,Gray / Black,,,https://m.media-amazon.com/images/I/51BdjazabVL.jpg
ASRock B850M Pro-A WiFi,215.10,AM5,Micro ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
MSI MAG B650 TOMAHAWK WIFI,171.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg
MSI B550M PRO-VDH WIFI,130.99,AM4,Micro ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
MSI PRO B550M-VC WIFI,99.99,AM4,Micro ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg
Asus ROG STRIX B850-A GAMING WIFI,258.19,AM5,ATX,192 GB,4,White,,,https://m.media-amazon.com/images/I/515foeFWRnL.jpg
MSI B650 GAMING PLUS WIFI,224.95,AM5,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
Gigabyte B760M GAMING PLUS WIFI DDR4,139.99,LGA1700,Micro ATX,128 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/6dcbd73f46d20ca37c1e80a00f3ef206.256p.jpg
MSI MAG X870 TOMAHAWK WIFI,251.37,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/ec3fc6477ed914f51a028bc29f0e20aa.256p.jpg
Asus ROG STRIX B550-F GAMING WIFI II,166.99,AM4,ATX,128 GB,4,Black / Red,,,https://cdna.pcpartpicker.com/static/forever/images/product/923cae0c8159c98aaf91541a20f95dc9.256p.jpg
MSI MAG B550 TOMAHAWK MAX WIFI,154.44,AM4,ATX,128 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg
ASRock B850I Lightning WiFi,179.99,AM5,Mini ITX,128 GB,2,Black,,,https://m.media-amazon.com/images/I/41emP7K0hIL.jpg
Gigabyte X870 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg
MSI PRO B760-P WIFI DDR4,166.99,LGA1700,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg
Gigabyte B650M GAMING PLUS WIFI,109.99,AM5,Micro ATX,192 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/dbb71bb11592fff92343d7d68db13544.256p.jpg
Gigabyte B550M GAMING X WIFI6,186.99,AM4,Micro ATX,128 GB,4,Gray / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/cd5f3bb9add2e4123ade1d5161553326.256p.jpg
Asus ROG CROSSHAIR X870E EXTREME,1572.25,AM5,EATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/32edc55907aae5cb63ec877846bb73ac.256p.jpg
Asus TUF GAMING B850-E WIFI,188.16,AM5,ATX,256 GB,4,Black,,,https://m.media-amazon.com/images/I/51-fMrMoQDL.jpg
Asus TUF GAMING B550-PLUS WIFI II,142.99,AM4,ATX,128 GB,4,Black / Gray,,,https://cdna.pcpartpicker.com/static/forever/images/product/6b136eab8dcdd8f78e02da5a09b96795.256p.jpg
MSI PRO Z790-A MAX WIFI,,LGA1700,ATX,256 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/55e781311c4d62e83df9ac297a64c01a.256p.jpg
Gigabyte A520I AC,105.99,AM4,Mini ITX,64 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/87329029966463ec6eac31fad52fae85.256p.jpg
Asus ROG STRIX B850-I GAMING WIFI,301.99,AM5,Mini ITX,128 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/573b392b2d5a728c3a15f84dce93449b.256p.jpg
ASRock B650M Pro RS,114.99,AM5,Micro ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/4dc751a89c74d335cae25cbc50b4c67e.256p.jpg
Asus ROG STRIX X870E-E GAMING WIFI,496.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/e6ec6fd92a901825fcbcc79fea85c79f.256p.jpg
Gigabyte B650 GAMING X AX V2,190.00,AM5,ATX,192 GB,4,Gray / Black,,,https://m.media-amazon.com/images/I/51FV8n5IuGL.jpg
Gigabyte Z790 EAGLE AX,184.99,LGA1700,ATX,256 GB,4,Gray / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/3d487ee6ea150ca534c123f409cbae68.256p.jpg
Gigabyte X870 EAGLE WIFI7,200.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a06aef05389e93f5e4de5dc26d807abe.256p.jpg
Gigabyte B850M GAMING X WIFI6E,171.00,AM5,Micro ATX,256 GB,4,Black,,,https://m.media-amazon.com/images/I/51Nm-+9BkbL.jpg
ASRock B650M Pro RS WiFi,129.94,AM5,Micro ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg
Asus B760M-AYW WIFI D4 II,122.99,LGA1700,Micro ATX,64 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/1e20fcdfc3ac73aae41d19e73b2d505c.256p.jpg
MSI PRO B850-S WIFI6E,153.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/bf040b7e95e6a515f5c1fabd2a011a08.256p.jpg
Asus ROG STRIX B850-F GAMING WIFI,341.30,AM5,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/da67975baa3e2a69497334af8eee81ce.256p.jpg
ASRock B450M/ac R2.0,94.00,AM4,Micro ATX,128 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/3097c6aa9533b84ddbaa1ce0be506081.256p.jpg
Gigabyte B550M AORUS ELITE AX,116.99,AM4,Micro ATX,128 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/bf6939e818d9dd155a2acf5199ef6720.256p.jpg
ASRock B450M-HDV R4.0,78.98,AM4,Micro ATX,64 GB,2,Black / White,,,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg
Asus TUF GAMING B650E-E WIFI,230.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/6e091a3954e7ac61e63a226aced54d9b.256p.jpg
Asus ROG STRIX B650E-I GAMING WIFI,346.99,AM5,Mini ITX,96 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/bf950d502a28575d015348684bf78a37.256p.jpg
Gigabyte B550 GAMING X V2,112.99,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/09d3314474cf5fefa2bd5c5941bb33b5.256p.jpg
MSI MAG X870E TOMAHAWK WIFI,257.39,AM5,ATX,256 GB,4,Black / Green,,,https://cdna.pcpartpicker.com/static/forever/images/product/d45365fc05268cf82bf9720808262049.256p.jpg
Gigabyte B850 AORUS ELITE WIFI7 ICE,278.99,AM5,ATX,256 GB,4,White / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/b0c60fa6ec041477ad48e09d4203a0da.256p.jpg
MSI MPG B550 GAMING PLUS,119.99,AM4,ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/607f7ca77131a0bf7dc6b75617795203.256p.jpg
ASRock B850M-X R2.0,110.98,AM5,Micro ATX,128 GB,2,Black / White,,,https://cdna.pcpartpicker.com/static/forever/images/product/7d10673e332d20614128a532027ca071.256p.jpg
MSI B850 GAMING PLUS WIFI6E,166.99,AM5,ATX,256 GB,4,Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/34e776866180181de790f98268092efd.256p.jpg
Asus TUF GAMING B850M-PLUS WIFI,266.00,AM5,Micro ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/1d8ae56612d85a6804f4da9a9bc4c5e4.256p.jpg
Asus PRIME B840-PLUS WIFI,101.99,AM5,ATX,192 GB,4,Silver / Black,,,https://m.media-amazon.com/images/I/51JlzVwM49L.jpg
ASRock B550M Pro4,97.99,AM4,Micro ATX,128 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/472d12f3f649d3c11155e02f9fd70e22.256p.jpg
Gigabyte A620I AX,108.00,AM5,Mini ITX,96 GB,2,Black / Gray,,,https://cdna.pcpartpicker.com/static/forever/images/product/69a825f37db70263d7e51fb24fb8e887.256p.jpg
Asus B650E MAX GAMING WIFI,212.99,AM5,ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/be86ce9c2456f1c3f19fd90476084431.256p.jpg
Asus ROG STRIX B860-I GAMING WIFI,237.99,LGA1851,Mini ITX,128 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/680d520ef892efb6864b638be584cc9a.256p.jpg
Gigabyte B850M EAGLE WIFI6E ICE,147.05,AM5,Micro ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/bd78975c5fc0c5510c5293181fe77831.256p.jpg
Gigabyte B850 EAGLE WIFI7 ICE,213.99,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/388f3e3de66324acbe4ade80d674298b.256p.jpg
Asus ProArt X870E-CREATOR WIFI,564.00,AM5,ATX,256 GB,4,Black / Gold,,,https://cdna.pcpartpicker.com/static/forever/images/product/90a7314681e18b425d4240b917dd7d3e.256p.jpg
MSI Z890 GAMING PLUS WIFI,209.00,LGA1851,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/09616b3a79d984fcecbcc06409660931.256p.jpg
Asus ROG STRIX X870-A GAMING WIFI,307.98,AM5,ATX,256 GB,4,White,,,https://cdna.pcpartpicker.com/static/forever/images/product/8759f89d039f01404d65dcb994629292.256p.jpg
MSI A520M-A PRO,70.98,AM4,Micro ATX,64 GB,2,Black,,,https://m.media-amazon.com/images/I/61rBzM2fjzL.jpg
MSI PRO X870E-P WIFI,247.00,AM5,ATX,256 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/818755e4ae3a17cd1e3dc208ed4017fe.256p.jpg
Asus ROG STRIX X870-I GAMING WIFI,482.99,AM5,Mini ITX,128 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/4e5ec27085e7971c37ce5794396f9639.256p.jpg
MSI B550-A PRO,121.99,AM4,ATX,128 GB,4,Black / Silver,,,https://m.media-amazon.com/images/I/51YHWAAsu5L.jpg
Gigabyte B650I AORUS ULTRA,211.99,AM5,Mini ITX,96 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/d24b8a128d98467e0dd3bc57882ddd55.256p.jpg
Gigabyte B850 GAMING X WIFI6E,254.99,AM5,ATX,256 GB,4,Gray / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/62258989025bb9dd8fb1abaa606d1444.256p.jpg
Gigabyte B650 AORUS ELITE AX,146.69,AM5,ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/322a6059c413dd736536e5ad5c3a2285.256p.jpg
ASRock B650I Lightning Wifi,169.99,AM5,Mini ITX,96 GB,2,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/40e47e0c22c38ba2269880dd81c305f3.256p.jpg
Gigabyte B550I AORUS PRO AX,222.99,AM4,Mini ITX,64 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/46324a9aac9a2c2e7b705b32a4632fba.256p.jpg
MSI B550M PRO-VDH,77.99,AM4,Micro ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/cd4ef210d3d8dfca5503e8b301064744.256p.jpg
MSI PRO H610M-G DDR4,114.00,LGA1700,Micro ATX,64 GB,2,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/8a6d9e0f04302ca47ff65d23bda24e49.256p.jpg
Asus ROG CROSSHAIR X870E HERO BTF,915.99,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/7ef93e079182741ba6097774e6184d29.256p.jpg
Asus ROG STRIX B650-A GAMING WIFI,147.99,AM5,ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/127cc163cf3e552499471f1908f99cfe.256p.jpg
Asus TUF GAMING X870-PLUS WIFI,220.99,AM5,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/0817e1eae7204d437ef0084b49c0c855.256p.jpg
MSI PRO B650M-A WIFI,184.94,AM5,Micro ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a7ffc5ab34c099836bb0ff9f9dfcab6d.256p.jpg
MSI MPG X870E CARBON WIFI,357.18,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/fac31c8cea999908580b1081eed58c0e.256p.jpg
ASRock B650 Steel Legend WiFi,159.99,AM5,ATX,256 GB,4,White / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/f154f20635f7e56b180c01266156053f.256p.jpg
Gigabyte B650M GAMING WIFI6E,174.64,AM5,Micro ATX,128 GB,2,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/7486bd0a06a2794a9f33b9104c25ca57.256p.jpg
Gigabyte Z890 AORUS ELITE WIFI7,247.99,LGA1851,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/c1cf44c1af8dfec51dc186c626c4325b.256p.jpg
Gigabyte X870 GAMING WIFI6,169.00,AM5,ATX,256 GB,4,Black / Gray,,,https://cdna.pcpartpicker.com/static/forever/images/product/2a78caa1159b44ac04ac0b6245d7a20b.256p.jpg
MSI PRO B650-S WIFI,146.00,AM5,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/a3020fc8322a2821927ed01af1155620.256p.jpg
ASRock B550M-ITX/ac,118.99,AM4,Mini ITX,64 GB,2,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/66aa5dd590cf1bb5fe8de0417f9ed7e6.256p.jpg
ASRock B550 Phantom Gaming 4/ac,101.98,AM4,ATX,128 GB,4,Silver / Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg
ASRock B860 Lightning WiFi,172.99,LGA1851,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/1ebd6134830c29b410b9f6c0f7d15957.256p.jpg
ASRock Phantom Gaming X870E Nova WiFi,288.99,AM5,ATX,256 GB,4,Black / Purple,,,https://cdna.pcpartpicker.com/static/forever/images/product/eaa95c0e62803b458f2f0d163dfffa91.256p.jpg
MSI PRO B760M-P DDR4,113.99,LGA1700,Micro ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/bc24eb1e51b0165c40c5fa45e30055ce.256p.jpg
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192 GB,4,Black / Silver,,,https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg
Asus ROG STRIX Z890-E GAMING WIFI,400.52,LGA1851,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/e454bdc289a21a76440be26aaacc1c38.256p.jpg
Asus ROG CROSSHAIR X870E HERO,675.00,AM5,ATX,256 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/308921dd82c7029537edd075cf518569.256p.jpg
ASRock B760M PG Riptide Wifi,121.99,LGA1700,Micro ATX,192 GB,4,Black,,,https://m.media-amazon.com/images/I/41OqAPsU4iL.jpg
Gigabyte B550M DS3H AC R2,129.99,AM4,Micro ATX,128 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/61e134589d40c606cd6ac71cd3603434.256p.jpg
MSI MAG Z890 TOMAHAWK WIFI,250.99,LGA1851,ATX,256 GB,4,Black / Yellow,,,https://cdna.pcpartpicker.com/static/forever/images/product/c4627c92bb33a5c35c247e2b415d25ed.256p.jpg
Asus ROG STRIX B650E-F GAMING WIFI,179.99,AM5,ATX,192 GB,4,Black,,,https://cdna.pcpartpicker.com/static/forever/images/product/b950287e2f141caa4638fc93dc99a6ba.256p.jpg
