web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,image,image2,image3,image4
"1784224868-1","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing F-GT Pro Formula and GT Racing Cockpit, Black, Official FIA Licensed, Adjustment Points, Powder Coated","£899.99","LN158744","Next Level Racing F-GT Pro Formula and GT Racing Cockpit - Black Edition","Add To Basket","Next Level Racing F-GT Pro Formula and GT Racing Cockpit","Black","Official FIA Licensed","Compare","","Quick view","In stock","","From £22.48 per month for 48 months*","£22.48","Powder Coated","Adjustment Points","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3698799.jpg","https://www.scan.co.uk/images/products/xlarge/3698799-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3698799-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-2","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing F-GT Pro Formula and GT Racing Cockpit, Grey, Official FIA Licensed, Adjustment Points, Powder Coated","£899.99","LN158743","Next Level Racing F-GT Pro Formula and GT Racing Cockpit - Carbon Grey Edition","Add To Basket","Next Level Racing F-GT Pro Formula and GT Racing Cockpit","Grey","Official FIA Licensed","Compare","","Quick view","In stock","","From £22.48 per month for 48 months*","£22.48","Powder Coated","Adjustment Points","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3698796.jpg","https://www.scan.co.uk/images/products/xlarge/3698796-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3698796-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-3","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Fanatec Clubsport GT Cockpit with GT Cockpit Seat, Black, Adjustable, VESA-Mount, Steel Frame, Breathable Fabric","£1,064.99","LN160224","Fanatec Clubsport GT Cockpit with GT Cockpit Seat Black","Add To Basket","Fanatec Clubsport GT Cockpit with GT Cockpit Seat","Black","Adjustable","Compare","","Quick view","In stock","","From £26.60 per month for 48 months*","£26.60","Steel Frame","VESA-Mount","Breathable Fabric","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","BUNDLE","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3711225.jpg","https://www.scan.co.uk/images/products/xlarge/3711225-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3711225-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/fanatec.gif"
"1784224868-4","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Fanatec Clubsport GT Cockpit with GT Cockpit Seat, White, Adjustable, VESA-Mount, Steel Frame, Breathable Fabric","£1,064.99","LN160225","Fanatec Clubsport GT Cockpit with GT Cockpit Seat White","Add To Basket","Fanatec Clubsport GT Cockpit with GT Cockpit Seat","White","Adjustable","Compare","","Quick view","In stock","","From £26.60 per month for 48 months*","£26.60","Steel Frame","VESA-Mount","Breathable Fabric","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","BUNDLE","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3711232.jpg","https://www.scan.co.uk/images/products/xlarge/3711232-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3711232-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/fanatec.gif"
"1784224868-5","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing Wheel Stand Racer, Adjustable Wheel Height/ Angle and Pedal Distance, Foldable Design, Predrilled","£89.99","LN136544","Next Level Racing Wheel Stand Racer","Pre Order","Next Level Racing Wheel Stand Racer","Adjustable Wheel Height/ Angle and Pedal Distance","Foldable Design","Compare","","Quick view","Pre order","","","","","Predrilled","","","","","","99","Key Specifications","","","","","","","","","","No customer review","","£","https://www.scan.co.uk/images/products/to/3520886.jpg","https://www.scan.co.uk/images/products/xlarge/3520886-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3520886-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-6","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing GT Lite Chair, Adjustable, Wheel & Gear Shifter Support, Breathable Fabric, Portable","£179.99","LN113727","Next Level Racing GT Lite Chair","Add To Basket","Next Level Racing GT Lite Chair","Adjustable","Wheel & Gear Shifter Support","Compare","(1)","Quick view","In stock","","","","Portable","Breathable Fabric","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Customer Review","£","https://www.scan.co.uk/images/products/to/3274770.jpg","https://www.scan.co.uk/images/products/xlarge/3274770-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3274770-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-7","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Refurbished Next Level Racing F-GT Lite Simulator Cockpit, Adjustable, Steel Frame, Sim Racing","£189.98","LN129246","Next Level Racing Refurbished F-GT Lite Simulator Cockpit","Add To Basket","Refurbished Next Level Racing F-GT Lite Simulator Cockpit","Adjustable","Steel Frame","Compare","","Quick view","In stock","","","","","Sim Racing","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","98","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3458146.jpg","https://www.scan.co.uk/images/products/xlarge/3458146-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3458146-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-8","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing Wheel Stand DD, Laser Cut, Robot Welded Carbon Steel, Adjustable Wheel Height and Pedal Distance,Black","£229.99","LN136543","Next Level Racing Wheel Stand Direct Drive","Pre Order","Next Level Racing Wheel Stand DD","Laser Cut","Robot Welded Carbon Steel","Compare","(1)","Quick view","Pre order","","","","Black","Adjustable Wheel Height and Pedal Distance","","","","","","99","Key Specifications","","","","","PayPal Credit options available","PAYPAL","","","","","Customer Review","£","https://www.scan.co.uk/images/products/to/3520883.jpg","https://www.scan.co.uk/images/products/xlarge/3520883-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3520883-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-9","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Thermaltake GR300 Racing Simulator Cockpit, Black, Fixed Frame, PVC Seat, 30~90° Recline, Three Mode Pedal Plate Tilt","£349.99","LN159110","Thermaltake GR300 Racing Simulator Cockpit Black with Reclining Seat","Add To Basket","Thermaltake GR300 Racing Simulator Cockpit","Black","Fixed Frame","Compare","","Quick view","In stock","48hr","From £10.97 per month for 48 months*","£10.97","30~90° Recline","PVC Seat","Three Mode Pedal Plate Tilt","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","99","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","No customer review","","£","https://www.scan.co.uk/images/products/to/3702043.jpg","https://www.scan.co.uk/images/products/xlarge/3702043-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3702043-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thermaltake.gif"
"1784224868-10","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Thermaltake GR300 Racing Simulator Cockpit, Snow, Fixed Frame, PVC Seat, 30~90° Recline, Three Mode Pedal Plate Tilt","£349.99","LN159111","Thermaltake GR300 Racing Simulator Cockpit White with Reclining Seat","Add To Basket","Thermaltake GR300 Racing Simulator Cockpit","Snow","Fixed Frame","Compare","(2)","Quick view","In stock","48hr","From £10.97 per month for 48 months*","£10.97","30~90° Recline","PVC Seat","Three Mode Pedal Plate Tilt","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","99","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","Customer Review","£","https://www.scan.co.uk/images/products/to/3702046.jpg","https://www.scan.co.uk/images/products/xlarge/3702046-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3702046-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/thermaltake.gif"
"1784224868-11","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing GTRacer 2.0 Simulator Cockpit, Adjustable, Seat-Slider, Pre-Drilled Wheel/Pedal Holes, Reclining","£379.99","LN167296","Next Level Racing GTRacer 2.0 Simulator Cockpit","Add To Basket","Next Level Racing GTRacer 2.0 Simulator Cockpit","Adjustable","Seat-Slider","Compare","","Quick view","In stock","","From £11.91 per month for 48 months*","£11.91","Reclining","Pre-Drilled Wheel/Pedal Holes","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/3774627.jpg","https://www.scan.co.uk/images/products/xlarge/3774627-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3774627-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
"1784224868-12","https://www.scan.co.uk/shop/computer-hardware/racing-simulation/all#filter=1&categories=4235%7C4236%7C4237%7C4264%7C4233%7C3563%7C4171%7C4172%7C4169%7C4173%7C4170%7C2743%7C2742%7C3313%7C3312%7C51%7C4174","Next Level Racing F-GT Formula & GT Simulator Cockpit, Adjustable, Modular, incl. Lumbar Support Cushion","£439.99","LN93090","Next Level Racing F-GT Formula and GT Simulator Cockpit","Add To Basket","Next Level Racing F-GT Formula & GT Simulator Cockpit","Adjustable","Modular","Compare","","Quick view","In stock","","From £10.99 per month for 48 months*","£10.99","","incl. Lumbar Support Cushion","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","99","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","SCAN FINANCE","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","No customer review","","£","https://www.scan.co.uk/images/products/to/2987520.jpg","https://www.scan.co.uk/images/products/xlarge/2987520-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2987520-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/nextlevelracing.gif"
